Produto;Código;Fabricante;Família;Saldo em Qtde; ;Situação;NCM;Classe de Tributação
SUV MASSA CORRIDA PVA 25KG;000041;;;12;LA;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
SUV TOQUE FOSCO COMPLETO BRANCO 900ML;001798;Suvinil;TINTA ACRILICA;12;QT;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
"TIGRE TRINCHA 573 1 "" PC 18.50.830";002668;TIGRE;;12;UN;Ativo;96034090;NÃO TRIBUTADO (CSOSN 400)
ATLAS DISCO ABRASIVO FLAP 115MM G60 OX ALUMIN AT24/60;001462;;;11;UN;Ativo;68053090;TRIBUTADO (CSOSN 102)
FUTURA ECOLOGICO B.AGUA BRANCO FOSCO 900 ML;001502;FUTURA;TINTA ESMALTE ;11;QT;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
SUV RENDE & COBRE MUITO BRANCO 3,6 LT;000352;Suvinil;TINTA ACRILICA;11;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
TIGRE ROLO LA 23CM 1312 SINTETICO;000374;;;11;UN;Ativo;96034010;NÃO TRIBUTADO (CSOSN 400)
"TIGRE TRINCHA 573 4"" PC 18.50.865";002670;TIGRE;;11;UN;Ativo;96034090;NÃO TRIBUTADO (CSOSN 400)
ATLAS PINCEL ARTISTICO CHATO PELO SUINO 915/22;001653;;;10;UN;Ativo;96033000;TRIBUTADO (CSOSN 102)
CORAL CORALAR ACR + DESEMPENHO BRANCO 18L;001877;Coral;TINTA ACRILICA;10;LA;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
DISCO DE LIXA GIRAFA  80 MASSA  A257  225X0X8 CX C/10;002750;Norton;LIXAS;10;UN;Ativo;68052000;NÃO TRIBUTADO (CSOSN 400)
DISCO DE LIXA GIRAFA 120 MASSA  A257  225X0X8 CX C/10;002749;Norton;LIXAS;10;UN;Ativo;68052000;NÃO TRIBUTADO (CSOSN 400)
DISCO DE LIXA GIRAFA 150 MASSA  A257 225X0X8 CX C/10;002748;Norton;LIXAS;10;UN;Ativo;68052000;NÃO TRIBUTADO (CSOSN 400)
DISCO DE LIXA GIRAFA 180  MASSA  A257 225X0X8 CX C/10;002747;THOMPSON;LIXAS;10;UN;Ativo;68052000;NÃO TRIBUTADO (CSOSN 400)
FUTURA TINTA PISO VERMELHO SEGURANCA 3,6 LT;001983;FUTURA;TINTA ACRILICA;10;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
MASSA CORRIDA;002706;;;10;BD;Ativo;32141020;NÃO TRIBUTADO (CSOSN 400)
SPRAY DSCOLOR ALTA TEMPERATURA 400ML / ALUMINIO FOSCO 50507;002768;DSCOLOR;Utilidades;10;UN;Ativo;32082011;
SPRAY DSCOLOR USO GERAL 400ML / AMARELO 50529;002769;DSCOLOR;Utilidades;10;UN;Ativo;32082011;
SPRAY DSCOLOR USO GERAL 400ML / AZUL CLARO 50530;002766;DSCOLOR;Utilidades;10;UN;Ativo;32082011;NÃO TRIBUTADO (CSOSN 400)
SPRAY DSCOLOR USO GERAL 400ML / AZUL ESCURO 50531;002765;DSCOLOR;Utilidades;10;UN;Ativo;32082011;NÃO TRIBUTADO (CSOSN 400)
SPRAY DSCOLOR USO GERAL 400ML / AZUL MEDIO 50532;002764;DSCOLOR;Utilidades;10;UN;Ativo;32082011;NÃO TRIBUTADO (CSOSN 400)
SPRAY DSCOLOR USO GERAL 400ML / MARROM 50539;002479;DSCOLOR;;10;UN;Ativo;32082011;NÃO TRIBUTADO (CSOSN 400)
SPRAY DSCOLOR USO GERAL 400ML / VERDE ESCURO 50545;002770;DSCOLOR;Utilidades;10;UN;Ativo;32082011;
SUV GLASU MUDA FACIL BRANCO -18 LTS;001246;Suvinil;TINTA ACRILICA;10;LA;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
SUV RENDE & COBRE MUITO BRANCO 900 ML;001564;Suvinil;TINTA ACRILICA;10;QT;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
TIGRE ROLO DE ESPUMA 15CM 1341 C/C PC 18.50.567;002689;TIGRE;;10;UN;Ativo;96034010;NÃO TRIBUTADO (CSOSN 400)
ATLAS ESPATULA PVC DENTADA 8CM 151/8;001524;;;9;UN;Ativo;39269090;NÃO TRIBUTADO (CSOSN 400)
ATLAS ROLO ANTIGOTA 15CM 321/15;000142;;;9;UN;Ativo;96034010;NÃO TRIBUTADO (CSOSN 400)
ATLAS TRINCHA 315  3;001444;;;9;UN;Ativo;96034090;TRIBUTADO (CSOSN 102)
