Produto;Código;Fabricante;Família;Saldo em Qtde; ;Situação;NCM;Classe de Tributação
ATLAS LUVA DE ALGODAO PIGMENTADA EG 1303EG;001645;;;2;UN;Ativo;61161000;TRIBUTADO (CSOSN 102)
ATLAS NIVEL METALICO C/ IMA 10 AT182/10;001871;;;2;UN;Ativo;90318099;TRIBUTADO (CSOSN 102)
ATLAS NIVEL METALICO C/ IMA 12 AT182/12;001872;;;2;UN;Ativo;90318099;TRIBUTADO (CSOSN 102)
ATLAS PISTOLA PROF. P/ CALAFETAR METALICA AT177/2;001353;;;2;UN;Ativo;82055900;TRIBUTADO (CSOSN 102)
ATLAS ROLO DE TEXTURA RUSTICA 5CM AT1155/5;001432;;;2;UN;Ativo;96034010;TRIBUTADO (CSOSN 102)
ATLAS SUPORTE P/ LIXA C/ ROSCA 10,5X21CM 100/3;001472;;;2;UN;Ativo;39269090;TRIBUTADO (CSOSN 102)
ATLAS TEXTURA RUSTICA 10CM AT155/10SR;001352;;;2;UN;Ativo;96034010;TRIBUTADO (CSOSN 102)
ATLAS TRINCHA 319  '2.1/2';001451;;;2;UN;Ativo;96034090;TRIBUTADO (CSOSN 102)
BASE MF - CORALIT AB ULTRA RES 3.2L ;002607;Coral;TINTA ACRILICA;2;GL;Ativo;32089010;
BASE P - DECORA SEDA AC 3.2L ;002512;Coral;TINTA ACRILICA;2;GL;Ativo;32091010;
BASE PM - RENDE MUITO 3.2L CORAL;002541;Coral;TINTA ACRILICA;2;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
BASE T  LOUSA 3,2 LT CORAL;002393;Coral;TINTA ACRILICA;2;GL;Ativo;12345678;NÃO TRIBUTADO (CSOSN 400)
BASTON ESPUMA EXPANSIVA  12X500ML/310G CHEMICOLOR;002580;;;2;UN;Ativo;35061090;NÃO TRIBUTADO (CSOSN 400)
DECORA SEDA BRANCO 3,6L CORAL;000526;Coral;TINTA ACRILICA;2;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA ABSOLUTO PRM  ALGODAO EGIPCIO 3,6;001677;FUTURA;TINTA ACRILICA;2;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA ABSOLUTO PRM  GELO 3,6;001676;FUTURA;TINTA ACRILICA;2;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA ABSOLUTO PRM  PAPEL PICADO 3,6;001675;FUTURA;TINTA ACRILICA;2;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA ABSOLUTO PRM VERDE SELVA 3,6;001984;FUTURA;TINTA ACRILICA;2;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA ACAO DO TEMP EMBORRACHADA ELEFANT 18 LT;002462;FUTURA;TINTA ACRILICA;2;LA;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA ACAO TEMPO EMBORRACHADA BRANCA 18 LT;001371;FUTURA;TINTA ACRILICA;2;LA;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA CIMENTO QUEIMADO COR CINZA CLARO;001678;FUTURA;Efeitos Decorativos;2;UN;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA CIMENTO QUEIMADO COR CINZA ESCURO;001680;FUTURA;Efeitos Decorativos;2;UN;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA ECOLOG B.AGUA BRILHO AZUL DEL REY 3,6 LT;001424;FUTURA;TINTA ESMALTE ;2;GL;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
FUTURA ECOLOGICO B.AGUA BRILHO GELO 3,6 LT;001545;FUTURA;TINTA ESMALTE ;2;GL;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
FUTURA ECOLOGICO B.AGUA BRTE AZUL DEL REY 900 ML;001953;FUTURA;TINTA ESMALTE ;2;QT;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUTURIT ESM. SINT. FOSCO BRANCO 3,6 LT SOLVENTE;001417;FUTURA;TINTA ESMALTE ;2;GL;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUTURIT ESM SINT.BRILHO AMARELO SEGUR;002652;FUTURA;TINTA ESMALTE ;2;QT;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUTURIT ESM SINT.BRILHO AZUL FRANCA 3,6 LT;001976;FUTURA;TINTA ESMALTE ;2;GL;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUTURIT MAIS PREMIUM METALICO AM OURO 3,6L;002651;FUTURA;TINTA ESMALTE ;2;GL;Ativo;32081010;
FUTURA FUTURIT MAIS PREMIUM METALICO AM OURO 900ML;002658;FUTURA;TINTA ESMALTE ;2;QT;Ativo;32081010;
FUTURA SUPER RENDIMENTO STD CHOCOLATE;002557;FUTURA;TINTA ACRILICA;2;GL;Ativo;32091010;
FUTURA SUPER RENDIMENTO STD MARFIM;002554;FUTURA;TINTA ACRILICA;2;GL;Ativo;32091010;
FUTURA SUPER RENDIMENTO STD PALHA 3,6L;002556;FUTURA;TINTA ACRILICA;2;GL;Ativo;32091010;
FUTURA SUPER RENDIMENTO STD VERDE PRIMAV 3,6 LT;001946;FUTURA;TINTA ACRILICA;2;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA TINTA GESSO BRANCA 18 LT;001372;FUTURA;TINTA ACRILICA;2;LA;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA TINTA PISO AMARELO 3,6 LT;001626;FUTURA;TINTA ACRILICA;2;GL;Ativo;32091010;TRIBUTADO (CSOSN 102)
FUTURA TINTA PISO CERAMICA 3,6 LT;001625;FUTURA;TINTA ACRILICA;2;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA TINTA TELHA BRANCA 3,6 LT;001627;FUTURA;TINTA ACRILICA;2;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA 4 ESTACOES PRM BRANCO;002716;FUTURA;TINTA ACRILICA;2;LA;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
GLASU MASSA ACRILICA/SELADOR ACRILICO 3,6LT;002563;;;2;GL;Ativo;32141020;
IMPERMEABILIZANTE PARA PAREDE BRANCO BD;002606;FUTURA;Impermeabilização e Vedação;2;BD;Ativo;32091010;
ITAQUA QUEROSENE 5LT;001840;;;2;UN;Ativo;27101919;NÃO TRIBUTADO (CSOSN 400)
MASTIFLEX FIXA ESPELHO SELANTE POLIURETANO -TUBO;001312;;;2;UN;Ativo;35069110;TRIBUTADO (CSOSN 102)
MAXI RUBBER BATIDA DE PEDRA PRETO 3,6L;000571;;;2;GL;Ativo;32091010;TRIBUTADO (CSOSN 102)
MONTANA RESINA CER TELHA BR AGUA 3,6L;001321;;;2;UN;Ativo;32091010;TRIBUTADO (CSOSN 102)
PARAFUSADEIRA BATERIA 21V BOM-9961;002754;;Utilidades;2;UN;Ativo;;TRIBUTADO (CSOSN 102)
SALVABRAS SALVA BANCADA 0,60M X 25MT;001389;;;2;UN;Ativo;48115129;TRIBUTADO (CSOSN 102)
SALVABRAS SALVA VIDRO 0,60M X 25M;001390;;;2;UN;Ativo;48115129;TRIBUTADO (CSOSN 102)
SPRAY DSCOLOR USO GERAL 400ML / VERDE CLARO 50544;002473;;;2;UN;Ativo;32082011;NÃO TRIBUTADO (CSOSN 400)
SUV ESM PLATINA BRTE 3,6 ML SOLVENTE;001810;;;2;GL;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
SUV ESM PRETO BRTE 3,6 LT SOLVENTE;000368;;;2;GL;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
SUV FACHADA PROTEGIDA BRANCO NEVE -18L;001795;Suvinil;TINTA ACRILICA;2;LA;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
SUV GLASU MUDA FACIL BRANCO 3,6L;001243;Suvinil;TINTA ACRILICA;2;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
SUV MASSA CORRIDA PVA - 1,4 KG;001235;;;2;QT;Ativo;32141020;TRIBUTADO (CSOSN 102)
SUV MASSA CORRIDA PVA GL - 5,7 KG;001197;;;2;GL;Ativo;32141020;TRIBUTADO (CSOSN 102)
TIGRE DESEMPENADEIRA  ACO INOX CAB FECH 12X25CM;002629;;;2;UN;Ativo;82055900;
VIAPOL MASSA F.12 IMBUIA 0,400KG;001547;;;2;UN;Ativo;32141020;TRIBUTADO (CSOSN 102)
XADREZ  AZUL  50ML ;001279;Sherwin Williams;Utilidades;2;QT;Ativo;32099019;NÃO TRIBUTADO (CSOSN 400)
ADELBRAS FITA CREPE AZUL 722 48 X 50 M;001566;;;1;UN;Ativo;48114110;TRIBUTADO (CSOSN 102)
ANJO AGUARRAS MINERAL 5 L;001761;;;1;UN;Ativo;27101230;TRIBUTADO (CSOSN 102)
ANJO MAIS ACR. PRE. BRANCO FOSCA 18 LT;001686;Anjo;TINTA ACRILICA;1;LA;Ativo;32091010;TRIBUTADO (CSOSN 102)
ANJO SPRAY USO GERAL AZUL ESCURO 400 ML;002047;;;1;UN;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
ANJO STAIN CASA IMBUIA ACET. 900 ML;001606;;;1;QT;Ativo;32081020;TRIBUTADO (CSOSN 102)
ANJO STAIN CASA IPE ACET. 3,6L;001614;;;1;GL;Ativo;32081020;TRIBUTADO (CSOSN 102)
ANJO STAIN CASA MOGNO ACET. 3,6 LTS;001611;;;1;GL;Ativo;32081020;TRIBUTADO (CSOSN 102)
ATLAS BANDEJA P/ PINTURA PT 3,6 L 1534P;001870;;;1;UN;Ativo;39269090;NÃO TRIBUTADO (CSOSN 400)
ATLAS DESEMP METAL TRAPEZIO CHANF P/ EFEITOS  AT111;001170;;;1;UN;Ativo;82055900;TRIBUTADO (CSOSN 102)
ATLAS ESPATULA ACO CROMADO 12,5CM 6255/20;001327;;;1;UN;Ativo;82055900;TRIBUTADO (CSOSN 102)
ATLAS ESPATULA ACO CROMADO 6CM 6255/10;001324;;;1;UN;Ativo;82055900;TRIBUTADO (CSOSN 102)
ATLAS ESPATULA CABO MADEIRA ACO INOX 6 CM 6155/10;001914;;;1;UN;Ativo;82055900;TRIBUTADO (CSOSN 102)
ATLAS ESPATULA INOX 5 P/ DRYWALL C/ BIT '12'  AT1414;001529;;;1;UN;Ativo;82055900;TRIBUTADO (CSOSN 102)
ATLAS ESPATULA PLASTICA LISA 8CM 150/8;001469;;;1;UN;Ativo;39269090;NÃO TRIBUTADO (CSOSN 400)
ATLAS ESPUMA MULTIUSO DE POLIESTER 102;001817;;;1;UN;Ativo;39211390;TRIBUTADO (CSOSN 102)
ATLAS ESTILETE TRAPE CABO ALUMINIO AT1408;001862;;;1;UN;Ativo;82119390;TRIBUTADO (CSOSN 102)
ATLAS MISTURADOR 176/2 60CM;000125;;;1;UN;Ativo;82079000;NÃO TRIBUTADO (CSOSN 400)
ATLAS NIVEL METALICO C/ IMA 14 AT182/14;001873;;;1;UN;Ativo;90318099;TRIBUTADO (CSOSN 102)
ATLAS ROLO ANTIGOTA 23CM 321/10;001260;;;1;UN;Ativo;96034010;TRIBUTADO (CSOSN 102)
ATLAS ROLO BRASILEIRINHO 23CM AT2014;001258;;;1;UN;Ativo;96034010;TRIBUTADO (CSOSN 102)
ATLAS ROLO DE ESPUMA 5CM 406/5A;001255;;;1;UN;Ativo;96034010;TRIBUTADO (CSOSN 102)
ATLAS TACO PARA LIXA 100/1;000123;;;1;UN;Ativo;39269090;NÃO TRIBUTADO (CSOSN 400)
ATLAS TESOURA DE AVIACAO CORTE RETO '25' AT1404;001816;;;1;UN;Ativo;82033000;TRIBUTADO (CSOSN 102)
ATLAS TRINCHA 315  2;001442;;;1;UN;Ativo;96034090;TRIBUTADO (CSOSN 102)
ATLAS TRINCHA 315  '2.1/2';001443;;;1;UN;Ativo;96034090;TRIBUTADO (CSOSN 102)
ATLAS TRINCHA 315  '3/4';001439;;;1;UN;Ativo;96034090;TRIBUTADO (CSOSN 102)
ATLAS TRINCHA 319  '3';001339;;;1;UN;Ativo;96034090;TRIBUTADO (CSOSN 102)
ATLAS TRINCHA 395 3;001335;;;1;UN;Ativo;96034090;TRIBUTADO (CSOSN 102)
ATLAS TRINCHA 395 4;001523;;;1;UN;Ativo;96034090;TRIBUTADO (CSOSN 102)
BASE MF - DECORA DIAMANTE S/B 3.2L - CORAL;000430;Coral;TINTA ACRILICA;1;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
BASE MF - DECORA SEDA AC 3.2L - CORAL;000511;Coral;TINTA ACRILICA;1;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
BASE PM - RENDE MUITO 800ML CORAL;002542;Coral;TINTA ACRILICA;1;QT;Ativo;32091010;
BASE T - MASTER 3,2L;002573;Coral;TINTA ACRILICA;1;GL;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
BATIDA DE PEDRA BRANCO 3,6L - MAXIRUBBER ( NOVO );001290;Maxi Rubber;Utilidades;1;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
BOMVINK ESMERILHADEIRA ANGULAR BOM-9545;002753;;LIXAS;1;UN;Ativo;;TRIBUTADO (CSOSN 102)
COLA SELA CALHA CINZA POTE 500GR;001038;;;1;UN;Ativo;35061090;TRIBUTADO (CSOSN 102)
CORAL GRAFITE ESCURO 3,6 LT;000772;;;1;GL;Ativo;32091010;TRIBUTADO (CSOSN 102)
CORAL SPARLACK EXTRA MARITIMO BR NAT. INCOLOR 0,225L;001874;;;1;QT;Ativo;32089029;NÃO TRIBUTADO (CSOSN 400)
CORALIT AREIA ULTRA RES ALT BRI 3,6 L CORAL;000896;;;1;GL;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
CORALIT ESM ULTRA RESIST  BRANCO ALTO BRILHO 3,6L;001875;;;1;GL;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
CORTEX ECON. BRANCO 3,6L;002707;FUTURA;TINTA ACRILICA;1;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
DECORA DIAMANTE BRANCO 3,6L;000554;Coral;TINTA ACRILICA;1;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
DECORA MATE BRANCO 3,6L;000555;Coral;TINTA ACRILICA;1;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA ABSOLUTO PRM AZUL MEIA NOITE 3,6;001950;FUTURA;TINTA ACRILICA;1;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA ABSOLUTO PRM BRANCO 3,6;001210;FUTURA;TINTA ACRILICA;1;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA ABSOLUTO PRM CONCRETO 18 LT;002575;FUTURA;TINTA ACRILICA;1;LA;Ativo;32091010;
FUTURA FUTURIT MAIS PREMIUM FOSCO BRANCO;002576;FUTURA;TINTA ESMALTE ;1;GL;Ativo;32081010;
FUTURA RESINA PROTETORA INCOLOR 18 LT;001851;FUTURA;Impermeabilização e Vedação;1;LA;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA TINTA P/ TELHA COR CERAMICA 3,6 LT;001493;FUTURA;TINTA ACRILICA;1;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA TINTA PISO PRETO 18 LT;001231;FUTURA;TINTA ACRILICA;1;LA;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA TINTA PISO SEMIBRILHO BRANCO 18L;002562;FUTURA;TINTA ACRILICA;1;LA;Ativo;32091010;
FUTURA TOQUE DE CETIM ACT BRANCO 3,6 LT;001537;FUTURA;TINTA ACRILICA;1;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
JB TINTAS  MASSA CORRIDA PVA 25KG;001288;;;1;LA;Ativo;32141020;TRIBUTADO (CSOSN 102)
JB TINTAS  TEXTURA LISA INT/EXT 25KG;001200;JB TINTAS;Efeitos Decorativos;1;LA;Ativo;32141020;TRIBUTADO (CSOSN 102)
JB TINTAS GRAFIATO TEXTURA RUSTICA 10 INTE/EXT 25KG;001201;JB TINTAS;Efeitos Decorativos;1;LA;Ativo;32141020;TRIBUTADO (CSOSN 102)
MASTIFLEX PU.40 SELANTE POLIURETANO PRETO - TUBO;001377;;;1;UN;Ativo;35069110;TRIBUTADO (CSOSN 102)
MAXI RUBBER BATIDA DE PEDRA PRETO 900ML;000573;;;1;QT;Ativo;32091010;TRIBUTADO (CSOSN 102)
MAXI RUBBER RESINA ADESIVO P/ LAMINACAO 990GR;000570;;;1;QT;Ativo;39079100;TRIBUTADO (CSOSN 102)
MONTANA STRIPTIZI REMOVEDOR GEL 4 KG;001380;;;1;UN;Ativo;38089299;TRIBUTADO (CSOSN 102)
RENOVA AZULEJOS BA AC BRANCO 3,60 02.10.109;002611;;;1;GL;Ativo;32091010;
SPARLACK SELADORA P/MAD.BASE AGUA 0,9L;000506;;;1;QT;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
SUV ACRILICO TOQUE SEDA / BRANCO NEVE 18LT;002494;Suvinil;TINTA ACRILICA;1;LA;Ativo;32091010;
SUV ESM BRANCO ACT 900 ML SOLVENTE;000406;;;1;QT;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
SUV ESM BRANCO BRTE 900 ML SOLVENTE;000378;;;1;QT;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
SUV ESM BRTE MARFIM NOBRE 3,6 GL AGUA;001491;;;1;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
SUV ESM PRETO BRTE 3,6 LT AGUA;001291;;;1;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
SUV ESM PRETO BRTE 900 ML SOLVENTE;000394;;;1;QT;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
SUV ESM TABACO BRTE 900 ML SOLVENTE;000392;;;1;QT;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
SUV ESM VERMELHO BRTE 3,6 LT  SOLVENTE;001667;;;1;GL;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
SUV FUNDO PARA GALVANIZADO BASE SOLVENTE 3,6 LT;000514;;;1;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
SUV MULTISSUPERFICIES EPOXI ACT BRANCO AGUA 900 ML;001548;Suvinil;TINTA ESMALTE ;1;QT;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
SUV SELADORA P/ MADEIRA 3,6 LT;001478;;;1;GL;Ativo;32089039;NÃO TRIBUTADO (CSOSN 400)
SUV TOQUE FOSCO BRANCO 3,6L;001198;Suvinil;TINTA ACRILICA;1;GL;Ativo;12345678;TRIBUTADO (CSOSN 102)
SUV VERNIZ AC PROT MAX DECK NATURAL - 3,6L;001219;;;1;GL;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
SUV VERNIZ BRTE TINGE E PROTEGE MOGNO 3,6 LT;001233;;;1;GL;Ativo;32081020;NÃO TRIBUTADO (CSOSN 400)
SUV VERNIZ NATURAL FOSCO B. SOLVENTE 3,6 LT;001588;;;1;GL;Ativo;32081020;NÃO TRIBUTADO (CSOSN 400)
TEK BOND SPRAY USO GERAL AZUL - 350ML;001886;;;1;UN;Ativo;32082019;NÃO TRIBUTADO (CSOSN 400)
TEK BOND SPRAY USO GERAL BEGE - 350ML;001889;;;1;UN;Ativo;32082019;NÃO TRIBUTADO (CSOSN 400)
TEK BOND SPRAY USO GERAL VERNIZ FOSCO - 350 ML;001489;;;1;UN;Ativo;32082020;NÃO TRIBUTADO (CSOSN 400)
TEKBOND FITA ANTIDERRAP 50X5M PT;001043;;;1;UN;Ativo;68053090;TRIBUTADO (CSOSN 102)
TIGRE ROLO LA 23CM 1380 S/C PC 18.50.518;002624;;;1;UN;Ativo;96034010;
TINTAS SUPER CASA MASSA ACRILICA 25KG;001928;;;1;LA;Ativo;32141020;TRIBUTADO (CSOSN 102)
"""TRINCHA TIGRE 695 2.1/2"""" GRIS LATEX/ACRILICA""";002492;TIGRE;;1;UN;Ativo;96034090;NÃO TRIBUTADO (CSOSN 400)
"""TRINCHA TIGRE 695 3"""" GRIS LATEX/ACRILICA""";002493;TIGRE;;1;UN;Ativo;96034090;
VERNIZ SPARLACK CETOL STAIN BALANCE AC  UV GLASS 0,9L - CORAL;000347;;;1;QT;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
VIAPOL MASSA F.12 CASTANHO 0,400KG;000254;;;1;UN;Ativo;32141020;TRIBUTADO (CSOSN 102)
VIAPOL MASSA F.12 CUMARU 0,400KG;000256;;;1;UN;Ativo;32141020;TRIBUTADO (CSOSN 102)
VIAPOL MASSA F.12 IPE 0,400KG;000257;;;1;UN;Ativo;32141020;TRIBUTADO (CSOSN 102)
VIAPOL MASSA F.12 SUCUPIRA 0,400KG;000259;;Complementos e Preparação;1;UN;Ativo;32141020;TRIBUTADO (CSOSN 102)
ABRE TRINCA ATLAS;000299;ATLAS;Acessórios e Ferramentas;0;UN;Ativo;82055900;NÃO TRIBUTADO (CSOSN 400)
ADELBRAS FITA SILVER TAPE PRETA 48 X 10 M;001885;;;0;UN;Ativo;59061000;TRIBUTADO (CSOSN 102)
ANJO AGUARRAS MINERAL 900 ML;001760;;;0;UN;Ativo;27101230;TRIBUTADO (CSOSN 102)
ANJO DILUENTE P/ SELA MADEIRAS 5 LTS;001590;;;0;UN;Ativo;38140090;TRIBUTADO (CSOSN 102)
ANJO SPRAY METALICA ALUMINIO PARA RODAS 400 ML;002040;;;0;UN;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
ANJO SPRAY USO GERAL AMARELO 400 ML;002045;;;0;UN;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
ANJO SPRAY USO GERAL BRANCO BRTE 400 ML;002048;;;0;UN;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
ANJO SPRAY USO GERAL BRANCO FSC 400 ML;002049;;;0;UN;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
ANJO SPRAY USO GERAL CINZA CLARO 400 ML;002050;;;0;UN;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
ANJO SPRAY USO GERAL CINZA ESCURO 400 ML;002051;;;0;UN;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
ANJO SPRAY USO GERAL FUNDO BRANCO PRIMER 400 ML;002062;;;0;UN;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
ANJO SPRAY USO GERAL FUNDO PREP. CINZA 400 ML;002052;;;0;UN;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
ANJO SPRAY USO GERAL GRAFITE 400 ML;002053;;;0;UN;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
ANJO SPRAY USO GERAL LARANJA 400 ML;002054;;;0;UN;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
ANJO SPRAY USO GERAL MARROM 400 ML;002055;;;0;UN;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
ANJO SPRAY USO GERAL PRETO BRILHANTE 400 ML;002071;;;0;UN;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
ANJO SPRAY USO GERAL PRETO FSC 400 ML;002056;;;0;UN;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
ANJO SPRAY USO GERAL PRETO SEMI BRILHO 400 ML;002057;;;0;UN;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
ANJO SPRAY USO GERAL ROSA 400 ML;002058;;;0;UN;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
ANJO SPRAY USO GERAL VERDE ESCURO 400 ML;002059;;;0;UN;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
ANJO SPRAY USO GERAL VERMELHO BR 400 ML;002060;;;0;UN;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
ANJO SPRAY USO GERAL VERMELHO FSC 400ML;002063;;;0;UN;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
ANJO SPRAY USO GERAL VERNIZ 400 ML;002061;;;0;UN;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
ANJO STAIN CASA IMBUIA ACET. 3,6 L;001615;;;0;GL;Ativo;32081020;TRIBUTADO (CSOSN 102)
ANJO STAIN CASA NOGUEIRA ACET. 3,6L;001612;;;0;GL;Ativo;32081020;TRIBUTADO (CSOSN 102)
ANJO THINNER PU CARBON BAIXA TEMPERATURA TH5002 900 ML;002069;;;0;UN;Ativo;38140090;TRIBUTADO (CSOSN 102)
ANJO THINNER PU 5000 5 L;001757;;;0;UN;Ativo;38140090;TRIBUTADO (CSOSN 102)
ANJO THINNER PU 5000 900 ML;001756;;;0;UN;Ativo;38140090;TRIBUTADO (CSOSN 102)
ANJO THINNER TH007 900ML;001752;;;0;UN;Ativo;38140090;TRIBUTADO (CSOSN 102)
ANJO THINNER 2750 18 LTS;001819;;;0;UN;Ativo;38140090;TRIBUTADO (CSOSN 102)
ANJO THINNER 2750 900 ML;001754;;;0;UN;Ativo;38140090;TRIBUTADO (CSOSN 102)
ANJO THINNER 2900 900 ML;001758;;;0;UN;Ativo;38140090;TRIBUTADO (CSOSN 102)
ANJO VERNIZ DURA MAIS NAT. ACET. 3,6 LTS;001596;;;0;GL;Ativo;32081020;TRIBUTADO (CSOSN 102)
ANJO VERNIZ DURA MAIS NAT. BRIL. 3,6 LTS;001595;;;0;GL;Ativo;32081020;TRIBUTADO (CSOSN 102)
ANJO VERNIZ DURA MAIS NAT. BRIL. 900 ML;001593;;;0;QT;Ativo;32081020;TRIBUTADO (CSOSN 102)
ANJO VERNIZ MARITIMO PREMIUM NAT. ACET. 3,6 LTS;001601;;;0;GL;Ativo;32081020;TRIBUTADO (CSOSN 102)
ANJO VERNIZ MARITIMO PREMIUM NAT. BRIL. 3,6 L;001603;;;0;GL;Ativo;32081020;TRIBUTADO (CSOSN 102)
ANJO VERNIZ MARITIMO PREMIUM NAT. BRIL. 900 ML;001599;;;0;QT;Ativo;32081020;TRIBUTADO (CSOSN 102)
APLICADOR DE SILICONE / PU;000832;;;0;UN;Ativo;82079000;NÃO TRIBUTADO (CSOSN 400)
APLICADOR DE SILICONE BRASF REFORC 7309;001035;;;0;UN;Ativo;82055900;TRIBUTADO (CSOSN 102)
APLICADOR DE SILICONE BRASF TUBULAR 7310;001036;;;0;UN;Ativo;82055900;TRIBUTADO (CSOSN 102)
ATLAS ABRACADEIRA PLAST PR 280X3,6MM PCT 100UN;001534;;;0;UN;Ativo;39269090;TRIBUTADO (CSOSN 102)
ATLAS ANTIGOTA KIT 6 PECAS AT1017;000175;;;0;UN;Ativo;96034090;NÃO TRIBUTADO (CSOSN 400)
ATLAS APLICADOR DE SILICONE 177;000124;;;0;UN;Ativo;82055900;NÃO TRIBUTADO (CSOSN 400)
ATLAS APLICADOR 4,5CM REF 152/1;000185;;;0;UN;Ativo;39269090;NÃO TRIBUTADO (CSOSN 400)
ATLAS BANDEJA P/ GARFO DUPLO PROFISSIONAL 4,3L REF: AT1492P;001456;;;0;UN;Ativo;39269090;NÃO TRIBUTADO (CSOSN 400)
ATLAS BANDEJA P/ PINTURA PVC 1,3L 1415;001455;;;0;UN;Ativo;39269090;NÃO TRIBUTADO (CSOSN 400)
ATLAS BANQUETA ESCADA 47,4X45X49,7CM PLAST CZ PR1041-1;001864;;;0;UN;Ativo;94018000;TRIBUTADO (CSOSN 102)
ATLAS BROXA RETANGULAR 15X5.6CM 800/1;000155;;;0;UN;Ativo;96034010;NÃO TRIBUTADO (CSOSN 400)
