   ;Produto;Código;Cód Barras;Situação;Preço de Venda; 
;ATLAS DISCO ABRASIVO FLAP 115MM G80 AT25/80;000201;7896003896404;Ativo;18,3300; por UN
;ATLAS DISCO ABRASIVO FLAP 115MM G80 OX ALUMIN AT24/80;001463;7896003896367;Ativo;15,5700; por UN
;ATLAS DISCO LIXA ABRASIVO 180 GRAO 150 AT19/150;001634;7896380109838;Ativo;5,2400; por UN
;ATLAS DISCO LIXA ABRASIVO 180 GRAO 180 AT19/180;001635;7896380109845;Ativo;5,2400; por UN
;ATLAS DISCO LIXA ABRASIVO 180 GRAO 220 AT19/220;001636;7896380109852;Ativo;4,8400; por UN
;ATLAS DISCO LIXA ABRASIVO 180 GRAO 80 AT19/80;001637;7896380109760;Ativo;4,8400; por UN
;ATLAS ESCOVA DE ACO ECONOMICA 3 FILEIRAS REF: AT1820/3;001457;7896380107308;Ativo;7,9000; por UN
;ATLAS ESPATULA ACO CROMADO 10CM 6255/16;001326;7896380173167;Ativo;27,3200; por UN
;ATLAS ESPATULA ACO CROMADO 12,5CM 6255/20;001327;7896380173174;Ativo;31,5200; por UN
;ATLAS ESPATULA ACO CROMADO 15 CM AT6255/21;001452;7896003896336;Ativo;39,9500; por UN
;ATLAS ESPATULA ACO CROMADO 3,5CM REF: 6255/6;001649;7896380173136;Ativo;19,7900; por UN
;ATLAS ESPATULA ACO CROMADO 6CM 6255/10;001324;7896380173143;Ativo;21,8900; por UN
;ATLAS ESPATULA ACO CROMADO 7,5CM 6255/12;001325;7896380173150;Ativo;22,6500; por UN
;ATLAS ESPATULA ACO INOX 20CM CABO MADEIRA AT6155/22;001453;7896380173471;Ativo;63,3200; por UN
;ATLAS ESPATULA ANGULAR DE ACO INOX 3 REF: AT 6165/3;001643;7896380100880;Ativo;46,3600; por UN
;ATLAS ESPATULA CABO MADEIRA ACO INOX 10CM 6155/16;001252;7896380173112;Ativo;42,2100; por UN
;ATLAS ESPATULA CABO MADEIRA ACO INOX 12,5CM 6155/20;001253;7896380173464;Ativo;49,6800; por UN
;ATLAS ESPATULA CABO MADEIRA ACO INOX 6 CM 6155/10;001914;7896380173099;Ativo;29,6300; por UN
;ATLAS ESPATULA CABO MADEIRA ACO INOX 7,5CM 6155/12;001251;7896380173105;Ativo;33,4600; por UN
;ATLAS ESPATULA DE ACO CABO PVC 10CM 175/10;000283;7896380191628;Ativo;19,0000; por UN
;ATLAS ESPATULA DE ACO CABO PVC 12CM 175/12;000284;7896380190799;Ativo;21,5100; por UN
;ATLAS ESPATULA DE ACO CABO PVC 4 CM 175/4;000280;7896380190782;Ativo;12,8400; por UN
;ATLAS ESPATULA DE ACO CABO PVC 6CM 175/6;000281;7896380191604;Ativo;13,5700; por UN
;ATLAS ESPATULA DE ACO CABO PVC 8CM 175/8;000282;7896380191611;Ativo;15,5000; por UN
;ATLAS ESPATULA DE ACO REFORCADO 100CM AT6555/10;001639;7896380108725;Ativo;27,9000; por UN
;ATLAS ESPATULA DE ACO REFORCADO 12CM AT6555/12;001640;7896380109685;Ativo;33,8000; por UN
;ATLAS ESPATULA DE ACO REFORCADO 60CM AT6555/6;001642;7896380108701;Ativo;24,7200; por UN
;ATLAS ESPATULA DE ACO REFORCADO 80CM 6555/8;001641;7896380108718;Ativo;25,4500; por UN
;ATLAS ESPATULA DRYWALL 8 INOX;000178;SEM GTIN;Ativo;1,0000; por UN
;ATLAS ESPATULA INOX ARREDONDADA 165 MM AT6655/6;000204;7896380197101;Ativo;41,6800; por UN
;ATLAS ESPATULA INOX P/ DRYWALL C/ BIT '6' AT1417;001528;7896380109777;Ativo;47,7700; por UN
;ATLAS ESPATULA INOX 5 P/ DRYWALL C/ BIT '12'  AT1414;001529;7896380109753;Ativo;67,9900; por UN
;ATLAS ESPATULA MULTIUSO METALICA AT195/1;001265;7896380150380;Ativo;30,0400; por UN
;ATLAS ESPATULA PLASTICA AT152/1;000303;7896380190850;Ativo;4,2900; por UN
;ATLAS ESPATULA PLASTICA LISA 10CM 150/10;001470;7896380193721;Ativo;6,3000; por UN
;ATLAS ESPATULA PLASTICA LISA 8CM 150/8;001469;7896380193714;Ativo;6,4800; por UN
;ATLAS ESPATULA PLASTICA 13,1X8,8 REF:152/2;000304;7896380191819;Ativo;4,3600; por UN
;ATLAS ESPATULA PLASTICA 20X8,8 AT152/3;000305;7896380190867;Ativo;8,2700; por UN
;ATLAS ESPATULA PVC DENTADA 10CM 151/10;001525;7896380193769;Ativo;5,4800; por UN
;ATLAS ESPATULA PVC DENTADA 8CM 151/8;001524;7896380193752;Ativo;6,4800; por UN
;ATLAS ESPATULA RETA. DRYWALL INOX '10' AT6455/10;001526;7896380104352;Ativo;64,7700; por UN
;ATLAS ESPATULA RETA. DRYWALL INOX '12' AT6455/12;001638;7896380104369;Ativo;73,2000; por UN
;ATLAS ESPATULA RETA. DRYWALL INOX '8' AT6455/8;001527;7896380104345;Ativo;58,0900; por UN
;ATLAS ESPONJA ABRASIVA 120X95 MEDIA AT18/180;001822;7896380108671;Ativo;21,8100; por UN
;ATLAS ESPUMA MULTIUSO DE POLIESTER 102;001817;7896380191185;Ativo;12,4400; por UN
;ATLAS ESTILETE AMARELO 175/2;000132;7896380173310;Ativo;1.250,0000; por UN
;ATLAS ESTILETE EMBORRACHADO PROF. AT175/3;000311;7896380150397;Ativo;41,5700; por UN
;ATLAS ESTILETE TRAPE CABO ALUMINIO AT1408;001862;7896380109708;Ativo;39,3700; por UN
;ATLAS EXTENSOR DE ACO 2M 1600;001437;7896380170586;Ativo;28,7700; por UN
;ATLAS EXTENSOR DE ACO 3M 1700;001436;7896380170999;Ativo;46,6900; por UN
;ATLAS EXTENSOR FIBRA PROFIMASTER 5M REF:18005;000129;7896380170449;Ativo;41.699,0000; por UN
;ATLAS EXTENSOR FIBRA/ALUMINIIO 2,4M AT18024;001659;7896380104314;Ativo;187,0200; por UN
;ATLAS EXTENSOR FIBRA/ALUMINIO 1,3M AT18013;001658;7896003894530;Ativo;158,6500; por UN
