   ;Produto;Código;Cód Barras;Situação;Preço de Venda; 
;ANJO ESM. PRM FLUENCE PRETO BR. 900 ML;001705;7899027700399;Inativo;1,0000; por QT
;ANJO ESM. PRM. FLUENCE PRETO FOSCO 3,6 L;001702;7899027701242;Inativo;1,0000; por UN
;ANJO ESM. PRM FLUENCE PRETO FOSCO 900 ML;001703;7899027701235;Inativo;1,0000; por QT
;ANJO ESM SINT ER/PLUS AMARELO SEGURANCA MUNSELL 5Y 8/12 BR 3,6 LT;002030;7899027733755;Inativo;1,0000; por UN
;ANJO ESM SINT ER/PLUS BRANCO PURO BR 3,6 LT;002009;7899027712446;Inativo;1,0000; por UN
;ANJO ESM SINT ER/PLUS BRANCO PURO BR 900 ML;002010;7899027712453;Inativo;1,0000; por QT
;ANJO ESM SINT ER/PLUS BRANCO SUPER WHITE BR 3,6 LT;002007;7899917143282;Inativo;1,0000; por UN
;ANJO ESM SINT ER/PLUS BRANCO SUPER WHITE BR 900 ML;002008;7899917143268;Inativo;1,0000; por QT
;ANJO ESM SINT ER/PLUS CINZA SCANIA 94 BR 3,6 LT;002005;7899027712590;Inativo;1,0000; por UN
;ANJO ESM SINT ER/PLUS CINZA SCANIA 94 BR 900 ML;002006;7899027712606;Inativo;1,0000; por QT
;ANJO ESM SINT ER/PLUS MUNSELL N6,5 CINZA BR 3,6 LT;002003;7899027720526;Inativo;1,0000; por UN
;ANJO ESM SINT ER/PLUS MUNSELL N6,5 CINZA BR 900 ML;002004;7899027720519;Inativo;1,0000; por QT
;ANJO ESM SINT ER/PLUS PRETO CADILAC BR 3,6 LT;002002;7899027712682;Inativo;1,0000; por UN
;ANJO ESM SINT ER/PLUS PRETO CADILAC BR 900 ML;002001;7899027712699;Inativo;1,0000; por QT
;ANJO ESM SINT ER/PLUS PRETO CHASSIS SEMI-BRILHO 3,6 LT;001999;7899027712712;Inativo;1,0000; por UN
;ANJO ESM SINT ER/PLUS PRETO CHASSIS SEMI-BRILHO 900 ML;002000;7899027712729;Inativo;1,0000; por QT
;ANJO ESM. STD TOM PLUS BRANCO BR 3,6 GL;001715;7899027785242;Inativo;1,0000; por UN
;ANJO ESM. STD TOM PLUS BRANCO BR 900 ML;001716;7899027785778;Inativo;1,0000; por QT
;ANJO ESM. STD TOM PLUS CINZA ESCURO BR 3,6 GL;001717;7899027791953;Inativo;1,0000; por UN
;ANJO ESM. STD TOM PLUS CINZA ESCURO BR 900 ML;001718;7899027792172;Inativo;1,0000; por QT
;ANJO ESM. STD TOM PLUS CINZA MEDIO BR 3,6 GL;001719;7899027786294;Inativo;1,0000; por UN
;ANJO ESM. STD TOM PLUS CINZA MEDIO BR 900 ML;001720;7899027786072;Inativo;1,0000; por QT
;ANJO ESM. STD TOM PLUS GELO BR 3,6 GL;001729;7899027786270;Inativo;1,0000; por UN
;ANJO ESM. STD TOM PLUS GELO BR 900 ML;001730;7899027786058;Inativo;1,0000; por QT
;ANJO ESM. STD TOM PLUS MARFIM BR 3,6 GL;001727;7899027786232;Inativo;1,0000; por UN
